ref,id,author,guild,trt,ctrl,sdt,sdc,ntrt,nctrl
Av2016,id_1,Averill et al. 2016,ECM,22.7,31,4.582051942,9.545941546,18,18
Av2016,id_2,Averill et al. 2016,ECM,0.277,0.194,0.06,0.052,16,16
Av2016,id_3,Averill et al. 2016,ECM,0.29,0.308,0.096,0.112,16,16
Av2016,id_4,Averill et al. 2016,ECM,0.269,0.274,0.068,0.064,16,16
St2018,id_5,Sterkenburg et al. 2018,ECM,27.04,29.98,2.375878785,3.139554108,8,8
St2018,id_6,Sterkenburg et al. 2018,ECM,58.87,62.89,4.016366517,3.563818177,8,8
Fe2020,id_7,Fernandez et al. 2020,ECM,29.7,36.81,35,35,196,196
Fe2020,id_8,Fernandez et al. 2020,ECM,29.6,30.67,20.72,44.8,196,196
Tr2016,id_9,Trap et al. 2016,ECM,18.77,17.16,3.4,3.32,5,5
Tr2016,id_10,Trap et al. 2016,ECM,13.37,8.48,3.19,3.18,5,5
Tr2016,id_11,Trap et al. 2016,ECM,9.76,17.16,3.3,3.32,5,5
Tr2016,id_12,Trap et al. 2016,ECM,3.34,8.48,2.14,3.18,5,5
Fa2020,id_13,Fang et al. 2020,ECM,0.77,0.64,0.332726915,0.338987905,80,80
Fa2020,id_14,Fang et al. 2020,ECM,0.74,0.63,0.332726915,0.333621342,80,80
Ca2021,id_15,Carteron et al. 2021,ECM,51.56,48.04,10.01758454,9.97286318,20,20
Ca2021,id_16,Carteron et al. 2021,ECM,38.1,33.68,8.94427191,8.98899327,20,20
Ca2021,id_17,Carteron et al. 2021,ECM,24.15,23.11,8.452336955,8.452336955,20,20
Li2021,id_18,Liu et al. 2021,ECM,,,,,,
Li2019,id_19,Li et al. 2019,ECM,,,,,,
Li2019,id_20,Li et al. 2019,ECM,,,,,,
La2006,id_21,Langley et al. 2006,ECM,7.8,6.2,7.551900423,10.01263202,8,8
La2006,id_22,Langley et al. 2006,ECM,19,19.8,3.507249635,3.507249635,8,8
Si2019,id_23,Sietio et al. 2019,ECM,0.107746479,0.094366197,0.14,0.17,15,15
GG1975,id_24,Gadgil & Gadgil 1975,ECM,5.34,5.97,0.2,0.3,6,6
GG1978,id_25,Gadgil & Gadgil 1978,ECM,57.57,68.63,2.71,5.87,4,4
En1991,id_26,Entry et al. 1991,ECM,1.44,1.3,0.02,0.02,15,15
St1988,id_27,Staaf 1988,ECM,48.4,52.1,8.9,6.7,10,10
St1988,id_28,Staaf 1988,ECM,69.8,67.2,6.3,5.6,10,10
Be2021,id_29,Beidler et al. 2021,ECM,31.4,46.8,8.623224455,2.944486373,11,3
Yi2021,id_30,Yin et al. 2021,ECM,48,48.54,14.2,10.86,4,4
Yi2021,id_31,Yin et al. 2021,ECM,54.78,48.54,9.22,4.34,4,4
Yi2021,id_32,Yin et al. 2021,ECM,36.34,30.37,1.08,1.64,4,4
MH2005,id_33,Mayor & Henkel 2005,ECM,0.35,0.35,0.080498447,0.134164079,20,20
Su2011,id_34,Subke et al. 2011,ECM,0.33,0.29,0.02,0.04,4,4
Ko2011,id_35,Koide et al. 2011,ECM,25.69,25.69,3.56,4.38,4,4
Ko2011,id_36,Koide et al. 2011,ECM,27.47,25.69,3.58,4.38,4,4
Ko2011,id_37,Koide et al. 2011,ECM,27.47,25.69,3.84,4.38,4,4
Ko2011,id_38,Koide et al. 2011,ECM,28.43,25.69,4.4,4.38,4,4
Ko2011,id_39,Koide et al. 2011,ECM,29.12,25.69,4.68,4.38,4,4
Ko2011,id_40,Koide et al. 2011,ECM,29.39,25.69,5.5,4.38,4,4
Ko2011,id_41,Koide et al. 2011,ECM,31.18,25.69,4.763139721,4.38,3,4
Ko2011,id_42,Koide et al. 2011,ECM,35.99,25.69,4.763139721,4.38,3,4
Ko2011,id_43,Koide et al. 2011,ECM,39.56,25.69,4.763139721,4.38,3,4
Br2015,id_44,Brzostek et al. 2015,ECM,,,,,,
Ch2009,id_45,Chigineva et al. 2009,ECM,62.7,60.7,11.4,12.6,36,36
Ad2019,id_46,Adamczyk et al. 2019,ECM,18.477,15.85,3.023,3.811,23,23
ZE1996,id_47,Zhu & Ehrenfeld 1996,ECM,81.57,70,10.37227073,8.917623002,10,10
Ho2001,id_48,Hodge et al. 2001,AMF,4.79,4.44,0.339411255,0.466690476,18,18
Gu2017,id_49,Gui et al. 2017,AMF,0.31,0.25,0.1,0.092,4,4
Gu2017,id_50,Gui et al. 2017,AMF,0.58,0.4,0.1,0.1,4,4
Gu2017,id_51,Gui et al. 2017,AMF,0.75,0.5,0.07,0.092,4,4
Gu2017,id_52,Gui et al. 2017,AMF,0.81,0.61,0.078,0.132,4,4
Ko2018,id_53,Kong et al. 2018,AMF,36.16,35.16,0.48,1.5,4,4
Ko2018,id_54,Kong et al. 2018,AMF,39.9,35.16,2.48,1.5,4,4
Ko2018,id_55,Kong et al. 2018,AMF,42.14,35.16,1.48,1.5,4,4
Ko2018,id_56,Kong et al. 2018,AMF,38.9,35.16,1.5,1.5,4,4
Le2015,id_57,Leifheit et al. 2015,AMF,27.77,46.24,8.886000225,12.07990066,10,10
Ve2016,id_58,Verbruggen et al. 2016,AMF,56.92,61.83,8.279275331,3.306811153,6,6
Ve2016,id_59,Verbruggen et al. 2016,AMF,28.8,41.52,5.486857024,4.94796928,6,6
Fa2020,id_60,Fang et al. 2020,AMF,0.96,0.72,0.366715148,0.330938061,80,80
Fa2020,id_61,Fang et al. 2020,AMF,0.93,0.69,0.332726915,0.332726915,80,80
Ca2021,id_62,Carteron et al. 2021,AMF,46.21,43.86,6.887089371,6.350433056,20,20
Ca2021,id_63,Carteron et al. 2021,AMF,34.47,30.67,5.277120427,5.277120427,20,20
Ca2021,id_64,Carteron et al. 2021,AMF,23.37,21.41,4.785185472,4.740464112,20,20
Li2021,id_65,Liu et al. 2021,AMF,,,,,,
Li2021,id_66,Liu et al. 2021,AMF,,,,,,
Li2019,id_67,Li et al. 2019,AMF,,,,,,
Li2019,id_68,Li et al. 2019,AMF,,,,,,
Li2019,id_69,Li et al. 2019,AMF,,,,,,
Li2019,id_70,Li et al. 2019,AMF,,,,,,
Qi2021,id_71,Qiu et al. 2021,AMF,16.3,12.9,2.927165865,3.775870761,3,3
Qi2021,id_72,Qiu et al. 2021,AMF,22.8,12.9,1.160474041,3.481422123,3,3
Me2022,id_73,Mei et al. 2022,AMF,,,0.043600917,0.036252448,6,6
Me2022,id_74,Mei et al. 2022,AMF,,,0.029148928,0.044335764,6,6
Ca2022,id_75,Cao et al. 2022,AMF,68.33,63.88,1.88,2.77,3,3
Ca2022,id_76,Cao et al. 2022,AMF,48.4,61,1.88,1.68,3,3
Ca2022,id_77,Cao et al. 2022,AMF,78.12,65.46,1.72,2.08,3,3
Ca2022,id_78,Cao et al. 2022,AMF,71.9,68.92,0.99,1.19,3,3
Ch2012,id_79,Cheng et al. 2012,AMF,26.29,15.05,4.34,9.02,4,4
Ch2012,id_80,Cheng et al. 2012,AMF,29.5,15.05,3.98,9.02,4,4
Ch2012,id_81,Cheng et al. 2012,AMF,30.51,15.05,4.322,9.02,4,4
Ch2012,id_82,Cheng et al. 2012,AMF,27.89,15.05,4.32,9.02,4,4
Ch2012,id_83,Cheng et al. 2012,AMF,28.5,15.05,4.34,9.02,4,4
Be2021,id_84,Beidler et al. 2021,AMF,33.1,38.4,6.085228015,2.598076211,7,3
Yi2021,id_85,Yin et al. 2021,AMF,58.03,67.52,18.44,5.42,4,4
Yi2021,id_86,Yin et al. 2021,AMF,62.1,45.56,10.3,5.42,4,4
Ca2016,id_87,Carrillo et al. 2016,AMF,20.3,21.65,1.4,0.34,4,4
Ca2016,id_88,Carrillo et al. 2016,AMF,20.56,21.52,1.34,0.96,4,4
Pa2016,id_89,Paterson et al. 2016,AMF,90.6,61.6,6.037383539,9.838699101,5,5
Br2015,id_90,Brzostek et al. 2015,AMF,,,,,,
Sh2015,id_91,Shahzad et al. 2015,AMF,56.2,64.95,5.38,8,4,4
Sh2015,id_92,Shahzad et al. 2015,AMF,118.6,116.1,20.8,19.6,4,4
Sh2015,id_93,Shahzad et al. 2015,AMF,51.85,52.9,7.6,6,4,4
Zh2020,id_94,Zhou et al. 2020,AMF,26.35,36.35,3.5,4.8,4,4
